host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.00,48.84813,2.32856,Paris,75006,Île-de-France,2,Entire home/apt,1,1,1,135 ,50,250,6,60,44
100%,,1.00,48.88066,2.3442,Paris,75009,Ile-de-France,6,Entire home/apt,2,1,3,175 ,50,700,1,60,136
92%,,2.00,48.84281,2.30288,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,52 ,40,200,6,478,259
,,1.00,48.8634,2.35826,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,90 ,,500,3,365,35
100%,,47.00,48.84218,2.35008,Paris,75005,Île-de-France,2,Entire home/apt,1,1,1,90 ,100,200,90,365,8
,,1.00,48.85228,2.31132,Paris,75007,Île-de-France,4,Entire home/apt,1,1,2,140 ,50,,120,730,10
78%,,5.00,48.85626,2.38844,Paris,75011,Île-de-France,4,Entire home/apt,1,1,2,110 ,30,100,3,365,177
100%,,1.00,48.85566,2.39708,Paris,75020,Île-de-France,2,Entire home/apt,1,1,2,40 ,30,150,7,730,6
,,1.00,48.86384,2.34932,Paris,75002,Île-de-France,2,Entire home/apt,0,1,1,110 ,50,300,240,1124,292
100%,,1.00,48.89232,2.37926,Paris,75019,Île-de-France,6,Entire home/apt,3,2,6,150 ,,,7,1125,17
,,1.00,48.86602,2.35117,Paris,75002,Île-de-France,1,Private room,1,1.5,1,50 ,40,500,1,730,0
100%,,2.00,48.87488,2.37725,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,67 ,0,199,2,25,153
100%,,1.00,48.85632,2.40521,Paris,75020,Île-de-France,2,Entire home/apt,1,1,1,40 ,40,400,2,14,1
100%,,2.00,48.82521,2.35752,Paris,75013,Île-de-France,4,Entire home/apt,1,1,2,50 ,30,150,1,730,90
100%,,1.00,48.8936,2.34587,Paris,75018,Île-de-France,5,Entire home/apt,2,1,3,133 ,,300,4,27,47
50%,,1.00,48.86542,2.35231,Paris,75003,Île-de-France,4,Entire home/apt,2,2,5,190 ,60,400,2,20,21
